trip_id	household_id	person_n	trip_n	travel_mode	purpose	fueltype	faretype	bus_scale	survey_year	travel_year	travel_month	travel_date	day_of_week	start_time	age	female	driving_license	car_ownership	distance	dur_walking	dur_cycling	dur_pt_access	dur_pt_rail	dur_pt_bus	dur_pt_int	pt_interchanges	dur_driving	cost_transit	cost_driving_fuel	cost_driving_ccharge	driving_traffic_percent
13	1	1	1	4	3	1	5	0.0	1	2012	4	1	7	17.66666667	80	0	1	2	3379	0.844722222	0.240277778	0.241388889	0.0	0.1222222219999999	0.0	0	0.132222222	0.0	0.5	0.0	0.0651260999999999
17	3	1	1	3	1	6	1	1.0	1	2012	4	1	7	21.5	32	1	0	0	1901	0.512222222	0.141666667	0.123888889	0.0	0.208055556	0.091666667	1	0.1155555559999999	3.0	0.33	0.0	0.0336538
28	8	1	0	3	3	1	1	1.0	1	2012	4	1	7	11.0	49	1	0	1	7871	1.775833333	0.490277778	0.1266666669999999	0.0	0.423333333	0.0	0	0.418055556	1.5	1.2	0.0	0.242525
35	9	0	0	4	3	1	1	1.0	1	2012	4	1	7	13.0	50	0	1	2	1828	0.467222222	0.144444444	0.146944444	0.0	0.225	0.0	0	0.200833333	1.5	0.48	0.0	0.378976
38	9	1	1	4	3	1	3	0.0	1	2012	4	1	7	14.5	11	1	0	2	1828	0.469722222	0.138333333	0.194722222	0.0	0.107777778	0.0	0	0.207777778	0.0	0.49	0.0	0.467914
72	14	0	0	4	3	1	5	0.0	1	2012	4	1	7	11.0	65	1	1	2	404	0.1447222219999999	0.0502777779999999	0.0430555559999999	0.0	0.0388888889999999	0.0	0	0.037777778	0.0	0.11	0.0	0.2426469999999999
73	14	0	2	4	3	1	5	0.0	1	2012	4	1	7	13.0	65	1	1	2	446	0.202777778	0.090833333	0.0777777779999999	0.0	0.036388889	0.0	0	0.061388889	0.0	0.16	0.0	0.221719
86	17	3	0	4	3	1	1	1.0	1	2012	4	1	7	9.5	45	0	1	1	8402	1.929722222	0.562777778	0.3375	0.166666667	0.0	0.0	0	0.3425	1.9	1.35	0.0	0.300892
96	19	3	0	3	3	1	5	0.0	1	2012	4	1	7	11.0	7	1	0	1	13815	3.331388889	1.026388889	0.099444444	0.483333333	0.138055556	0.166666667	2	0.7919444440000001	0.0	2.76	0.0	0.468257
132	27	0	1	3	3	6	5	0.0	1	2012	4	2	1	16.25	79	0	1	0	15832	3.794444444	1.2430555559999998	0.3419444439999999	0.366666667	0.0	0.1166666669999999	1	1.030833333	0.0	2.61	10.5	0.605228
153	31	0	2	1	3	6	1	1.0	1	2012	4	2	1	11.0	32	0	1	0	2099	0.488333333	0.188611111	0.147777778	0.0	0.189444444	0.0	0	0.1397222219999999	1.5	0.34	0.0	0.328032
156	31	1	0	1	3	6	1	1.0	1	2012	4	2	1	11.0	36	1	0	0	2099	0.488333333	0.188611111	0.147777778	0.0	0.189444444	0.0	0	0.1397222219999999	1.5	0.34	0.0	0.328032
186	41	0	4	4	3	1	5	0.0	1	2012	4	3	2	19.5	62	1	1	2	3705	0.919444444	0.256666667	0.0605555559999999	0.0	0.329444444	0.154444444	1	0.158611111	0.0	0.58	0.0	0.138354
196	42	1	3	4	4	2	1	1.0	1	2012	4	3	2	14.16666667	46	1	1	2	5206	1.523055556	0.453055556	0.2475	0.1	0.281666667	0.166666667	1	0.361111111	3.4	0.93	0.0	0.338462
208	43	0	1	3	3	6	5	0.0	1	2012	4	3	2	12.25	43	0	1	0	2007	0.473888889	0.157777778	0.085	0.0	0.136944444	0.0	0	0.154722222	0.0	0.39	0.0	0.357271
260	57	0	0	1	1	1	1	1.0	1	2012	4	3	2	7.666666667	41	0	1	1	5356	1.225	0.441111111	0.128333333	0.0	0.432222222	0.0	0	0.398611111	1.5	1.04	10.5	0.798606
262	58	0	0	3	1	6	5	0.0	1	2012	4	3	2	6.5	64	1	0	0	4593	1.097777778	0.335	0.192777778	0.133333333	0.0	0.0	0	0.253333333	0.0	0.77	0.0	0.266447
280	63	0	1	3	3	2	4	1.0	1	2012	4	4	3	11.5	60	1	1	1	1147	0.314722222	0.078333333	0.096944444	0.0	0.082777778	0.0	0	0.084444444	1.5	0.21	0.0	0.141447
281	63	2	3	4	3	2	4	1.0	1	2012	4	4	3	21.0	29	1	0	1	6960	1.652777778	0.533333333	0.3291666669999999	0.15	0.0	0.0	0	0.306944444	1.45	0.95	0.0	0.1104069999999999
294	67	1	0	3	1	6	1	1.0	1	2012	4	5	4	8.0	23	1	0	0	9240	2.161388889	0.669722222	0.173611111	0.333333333	0.0	0.2166666669999999	2	0.7494444440000001	2.4	1.73	0.0	0.664196
307	71	0	1	4	5	2	5	0.0	1	2012	4	6	5	16.5	64	1	1	1	6448	1.5825	0.543888889	0.208333333	0.0	0.502777778	0.0	0	0.373333333	0.0	0.96	0.0	0.4159229999999999
309	71	1	0	4	3	2	5	0.0	1	2012	4	6	5	15.0	67	0	1	1	9990	2.2433333330000003	0.651944444	0.250277778	0.316666667	0.105	0.111666667	1	0.5025	0.0	1.41	0.0	0.316197
340	80	0	0	3	3	6	1	1.0	1	2012	4	6	5	12.5	31	1	1	0	977	0.2119444439999999	0.0536111109999999	0.019166667	0.0	0.08	0.0	0	0.038333333	1.5	0.12	0.0	0.65942
